Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 8239420k(1205908k free), swap 17590580k(2318448k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T18:11:45.070+0800: 0.812: [Full GC (Ergonomics) [PSYoungGen: 29694K->29049K(58368K)] [ParOldGen: 174783K->174783K(175104K)] 204478K->203833K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0022988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:45.072+0800: 0.814: [Full GC (Ergonomics) [PSYoungGen: 29348K->29112K(58368K)] [ParOldGen: 174783K->174783K(175104K)] 204131K->203895K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0031281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:45.076+0800: 0.818: [Full GC (Ergonomics) [PSYoungGen: 29677K->29252K(58368K)] [ParOldGen: 174783K->174783K(175104K)] 204461K->204036K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0024965 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:45.078+0800: 0.821: [Full GC (Ergonomics) [PSYoungGen: 29516K->29252K(58368K)] [ParOldGen: 174783K->174783K(175104K)] 204299K->204036K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0022803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:45.081+0800: 0.823: [Full GC (Ergonomics) [PSYoungGen: 29524K->29524K(58368K)] [ParOldGen: 174783K->174636K(175104K)] 204308K->204160K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0194377 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:45.101+0800: 0.843: [Full GC (Ergonomics) [PSYoungGen: 29598K->29584K(58368K)] [ParOldGen: 174879K->174879K(175104K)] 204477K->204463K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0072528 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T18:11:45.108+0800: 0.851: [Full GC (Allocation Failure) [PSYoungGen: 29584K->29584K(58368K)] [ParOldGen: 174879K->174860K(175104K)] 204463K->204444K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0268341 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
Heap
 PSYoungGen      total 58368K, used 29696K [0x00000000fab00000, 0x0000000100000000, 0x0000000100000000)
  eden space 29696K, 100% used [0x00000000fab00000,0x00000000fc800000,0x00000000fc800000)
  from space 28672K, 0% used [0x00000000fe400000,0x00000000fe400000,0x0000000100000000)
  to   space 28672K, 0% used [0x00000000fc800000,0x00000000fc800000,0x00000000fe400000)
 ParOldGen       total 175104K, used 174860K [0x00000000f0000000, 0x00000000fab00000, 0x00000000fab00000)
  object space 175104K, 99% used [0x00000000f0000000,0x00000000faac3088,0x00000000fab00000)
 Metaspace       used 2667K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 294K, capacity 386K, committed 512K, reserved 1048576K
